ID,Lieu,Epoque,Nom,Titre
10-05-02,Messine, en Sicile,546,Victorinus,moine
10-05-03,Messine, en Sicile,546,Flavia,vierge
10-05-04,Messine, en Sicile,546,Donat,aucun
10-05-05,Messine, en Sicile,546,Firmat,diacre
10-05-06,Messine, en Sicile,546,Fauste,moine
10-05-07,Smyrne,171,Thraséas,évêque
10-05-08,Trèves,Dioclétien,Palmatius,aucun
10-05-09,Trèves,Dioclétien,ses compagnons,aucun
10-05-10,,Dioclétien,Charitine,vierge
10-05-11,Auxerre,cinquième ou sixième siècle,Firmat,diacre
10-05-12,Auxerre,cinquième ou sixième siècle,Flavie,vierge
10-05-13,Ravenne,,Marcellin,évêque
10-05-14,Valence, en Gaule,520,Apollinaire,évêque
10-05-15,Zamora,,Attilan,évêque
10-05-16,León, en Espagne,1006,Froilan,évêque
10-05-17,Rome,,Galla,veuve
10-06-00,Calabre,1101,Bruno,Confesseur
10-06-01,Laodicée,,Sagaris,Évêque
10-06-02,Capoue,quatrième siècle,Marcellus,martyr
10-06-03,Capoue,quatrième siècle,Castus,martyr
10-06-04,Capoue,quatrième siècle,Emilius,martyr
10-06-05,Capoue,quatrième siècle,Saturninus,martyr
10-06-06,Agen,fin du troisième siècle,Foy,Vierge et martyre
10-06-07,Agen,fin du troisième siècle,Caprasius,aucun
10-06-08,,,Érotis,martyre
10-06-09,Trèves,Dioclétien,multitude de martyrs,martyr
10-06-10,Auxerre,,Romain,Évêque
10-06-11,Oderzo,660,Magnus,Évêque
10-06-12,Naples,1791,Marie Françoise,aucun
10-07-00,Rome,336,Marc,Pape
10-07-01,Rasaphe,,Serge,officier romain
10-07-02,Rasaphe,,Bacchus,officier romain
10-07-03,Rome,,Marcellus,martyr
10-07-04,Rome,,Apuleius,martyr
10-07-05,Rasaphe,,Julia,Vierge
10-07-06,Padoue,,Justine,Vierge
10-07-07,Bourges,560,Auguste,Prêtre
10-07-08,Reims,VIe siècle,Hélène,Prêtre
10-07-09,,,Marie,Vierge
10-08-00,Rome,1373,Bridget,sainte Veuve
10-08-01,,,Siméon,saint vieillard
10-08-02,Césarée,Empereur Dèce,Réparate,sainte Vierge et martyre
10-08-03,Thessalonique,Empereur Maximien,Démétrius,saint Proconsul
10-08-04,Thessalonique,Empereur Maximien,Nestor,saint martyr
10-08-05,Séville,,Pierre,saint martyr
10-08-06,Laodicée,Empereur Dioclétien,Artemon,saint Prêtre
10-08-07,Lyon,,Bénédicte,sainte Vierge et martyre
10-08-08,Ancône,Empereur Dioclétien,Palatias,saint
10-08-09,Ancône,Empereur Dioclétien,Laurentia,sainte
10-08-10,Rouen,cinquième siècle,Évode,Évêque
10-08-11,Jérusalem,460,Pélagie,sainte
10-09-00,Paris,,Denys l'Aréopagite,Évêque
10-09-01,Paris,,Rusticus,Prêtre
10-09-02,Paris,,Éleuthère,Diacre
10-09-03,,,Abraham,Patriarche
10-09-04,Julia, dans la région de Parme, sur la Voie Claudienne,sous l'Empereur Maximien,Domnin,martyr
10-09-05,Mont-Cassin,(en l'an 834),Deusdedit,Abbé
10-09-06,Hainaut,(vers l'an 680),Ghislain,Confesseur
10-09-07,Valence, en Espagne,,Louis Bertrand,aucun
