ID,Lieu,Epoque,Nom,Titre
08-22-05,Porto,IIIe siècle,Saturnin,martyr
08-22-06,Porto,IIIe siècle,Epictète,martyr
08-22-07,Porto,IIIe siècle,Maprilis,martyr
08-22-08,Porto,IIIe siècle,Félix,martyr
08-22-09,Nicomédie,,Agathonique,martyr
08-22-10,Nicomédie,,Zoticus,martyr
08-22-11,Tarse,,Athanase,évêque
08-22-12,Tarse,,Anthuse,dame
08-22-13,Tarse,,Charisius,aucun
08-22-14,Tarse,,Néophyte,aucun
08-22-15,Reims,fin du IIIe siècle,Maur,martyr
08-22-16,Espagne,,Fabrice,martyr
08-22-17,Espagne,,Philibert,martyr
08-22-18,Pavie,,Gunifort,martyr
08-23-00,Todi,1285,Philippe Benizi,Confesseur
08-23-01,Antioche,IVe siècle,Restitut,martyr
08-23-02,Antioche,IVe siècle,Donat,martyr
08-23-03,Antioche,IVe siècle,Valérien,martyr
08-23-04,Antioche,IVe siècle,Fructueuse,martyr
08-23-05,Ostie,IIIe siècle,Cyr,évêque
08-23-06,Ostie,IIIe siècle,Maxime,prêtre
08-23-07,Ostie,IIIe siècle,Archélaüs,diacre
08-23-08,Aegaea,,Claude,martyr
08-23-09,Aegaea,,Astère,martyr
08-23-10,Aegaea,,Néon,martyr
08-23-11,Aegaea,,Donvine,martyr
08-23-12,Aegaea,,Théonille,martyr
08-23-13,Reims,IIIe siècle,Timothée,martyr
08-23-14,Reims,IIIe siècle,Apollinaire,martyr
08-23-15,Lyon,IIIe siècle,Minerve,martyr
08-23-16,Lyon,IIIe siècle,Éléazar,martyr
08-23-17,Lyon,,Lupus,martyr
08-23-18,Jérusalem,IIe siècle,Zachée,évêque
08-23-19,Alexandrie,300,Théonas,Confesseur
08-23-20,Utique,Ve siècle,Victor,évêque
08-23-21,Autun,VIIe siècle,Flavien,évêque
08-23-22,Clermont,Ve siècle,Sidoine,évêque
08-24-00,Inde, Grande Arménie, île de Lipari, Bénévent, Rome,vers l'an 71,Barthélemy,apôtre
08-24-01,Carthage,époque des empereurs Valérien et Gallien,trois cents saints martyrs,martyrs
08-24-02,Toscane, Nepi,Ier siècle,Ptolémée,évêque
08-24-03,Nepi,Ier siècle,Romain,évêque
08-24-04,Ostie,an 230,Auréa,Vierge
08-24-05,Isaurie,vers l'an 304,Tation,martyr
08-24-06,,fin du Ier siècle ou début du IIe siècle,Eutychius,aucun
08-24-07,,VIIIe siècle,Georges,moine
08-24-08,Rouen,an 683,Ouen,évêque
08-24-09,Nevers,,Patrick,abbé
08-25-00,Paris,1270,Louis,roi
08-25-01,Rome,IIe siècle,Eusèbe,aucun
08-25-02,Rome,IIe siècle,Pontien,aucun
08-25-03,Rome,IIe siècle,Vincent,aucun
08-25-04,Rome,IIe siècle,Pérégrin,aucun
08-25-05,Rome,286 ou 303,Genès,aucun
08-25-06,Séville ancienne,Ier siècle,Gerontius,évêque
08-25-07,Arles,303,Genès,aucun
08-25-08,Syrie,,Julien,aucun
08-25-09,Tarragone,sous l'empereur Maximin,Magin,aucun
08-25-10,Constantinople,552,Mennas,archevêque
08-25-11,Utrecht,vers 776,Grégoire,évêque
08-25-12,Naples,365,Patricia,sainte vierge
08-26-00,Rome,219,Zéphyrin,pape
08-26-01,Rome,IIIe siècle,Irénée,martyr
08-26-02,Rome,IIIe siècle,Abundius,martyr
08-26-03,Vintimille,empereur Maximien,Second,martyr
08-26-04,Bergame,286,Alexandre,martyr
08-26-05,,empereur Antonin,Simplice,saint
08-26-06,,empereur Antonin,Constantin,saint
08-26-07,,empereur Antonin,Victorien,saint
08-26-08,Nicomédie,IVe siècle,Adrien,saint
08-26-09,Espagne,,Victor,martyr
08-26-10,Capoue,,Rufin,évêque
08-26-11,Pistoia,,Félix,prêtre
08-26-12,Lima,royaume du Pérou,Rose de Sainte-Marie,vierge
08-27-00,Rome,1648,Joseph,confesseur
08-27-01,Capoue,fin du Ier siècle,Rufus,évêque
08-27-02,Capoue,,Rufus,martyr
08-27-03,Capoue,,Carpophore,martyr
08-27-04,Tomi,303,Marcelin,martyr
08-27-05,Tomi,303,Mannea,martyr
08-27-06,Tomi,303,Jean,martyr
08-27-07,Tomi,303,Sérapion,martyr
08-27-08,Tomi,303,Pierre,martyr
08-27-09,Lentini,256,Euthalie,vierge
08-27-10,,,Anthuse,martyr
08-27-11,Bergame,75,Narnus,évêque
08-27-12,Arles,542,Césaire,évêque
08-27-13,Autun,600,Syagrius,évêque
08-27-14,Pavie,813,Jean,évêque
08-27-15,Lérida,,Licerius,évêque
08-27-16,Désert de Thébaïde,450,Poemon,ermite
08-27-17,San Severino,1396,Marguerite,veuve
08-28-00,Hippone,430,Augustin,évêque
08-28-01,Rome,116 ou 132,Hermès,aucun
08-28-02,Brioude,Dioclétien,Julien,aucun
08-28-03,Constance,Numérien,Pélage,aucun
08-28-04,Salerne,Dioclétien,Fortunat,aucun
08-28-05,Salerne,Dioclétien,Caius,aucun
08-28-06,Salerne,Dioclétien,Anthe,aucun
08-28-07,Constantinople,340,Alexandre,évêque
08-28-08,Saintes,450,Vivien,évêque
08-28-09,,395,Moïse l'Éthiopien,Ermite
08-29-00,,,Jean Baptiste,saint
08-29-01,Rome,en l'an 126,Sabine,martyre
08-29-02,Rome,,Candide,martyre
08-29-03,Antioche, en Syrie,,Nicasas,martyr
08-29-04,Antioche, en Syrie,,Paul,martyr
08-29-05,Constantinople,au huitième siècle,Hypatius,évêque
08-29-06,Constantinople,au huitième siècle,André,prêtre
08-29-07,Pérouse,vers l'an 309,Euthyme,saint
08-29-08,Metz,au cinquième siècle,Adelphe,évêque
08-29-09,Paris,vers l'an 700,Médéric,prêtre
08-29-10,Angleterre,en l'an 697,Seb,Roi
08-29-11,Smyrne,,Basille,sainte
08-29-12,région de Troyes,,Sabine,Vierge
08-30-00,,1617,Rose de Sainte Marie,Vierge
08-30-01,Rome,sous les empereurs Dioclétien et Maximien,Félix,Prêtre
08-30-02,Rome,,Gaudentia,Vierge
08-30-03,Rome,410,Pammachius,Prêtre
08-30-04,Sfaitla,399,soixante bienheureux martyrs,martyrs
08-30-05,Suse,250,Boniface,aucun
08-30-06,Suse,250,Thècle,aucun
